PLAYER_ID,PLAYER,Team,WinPct,OPTPM,DPTPM,PTPM,Scoring,Passing,OffPoss,RimProtection,DefPoss,TeamDefEffect,StablizedPTPM
203141,Mirza Teletovic,BKN,0.409,-2.1,0.34,-1.76,0.04,-0.62,-0.28,0.3,-0.34,0.59,-1.9
101127,Jarrett Jack,BKN,0.409,-1.43,-1.21,-2.64,0.01,1.37,-1.39,0.08,-0.15,-0.5,-2.6
202711,Bojan Bogdanovic,BKN,0.409,-1.26,-2.35,-3.61,0.06,-0.66,0.4,-0.29,-0.82,-0.54,-3.4
203092,Tyler Zeller,BOS,0.448,1.27,-0.31,0.96,0.91,-0.26,0.59,0.43,-0.39,-0.04,0.3
201977,Marcus Thornton,BOS,0.448,0.24,0.58,0.82,0.53,-0.32,0.48,0.74,0.18,-0.03,-0.1
203096,Jared Sullinger,BOS,0.448,0.41,-0.22,0.18,0.31,0.03,0.72,0.13,0.12,0.02,-0.2
203109,Jae Crowder,BOS,0.448,-0.12,0,-0.12,0.21,-0.4,0.82,-0.15,1.09,-0.15,-0.7
101138,Brandon Bass,BOS,0.448,-0.23,0.05,-0.17,0.36,-0.47,0.54,0.2,-0.17,0.36,-0.6
2419,Tayshaun Prince,BOS,0.448,-0.32,-0.16,-0.48,-0.03,-0.21,0.93,0.61,-0.56,0.03,-1
203482,Kelly Olynyk,BOS,0.448,-0.57,-0.13,-0.7,0.69,-0.32,-0.48,0.07,0.42,-0.04,-1.1
203935,Marcus Smart,BOS,0.448,-0.52,-0.27,-0.8,-0.06,1.08,-0.28,-0.29,0.62,0.11,-1.2
202340,Avery Bradley,BOS,0.448,-1.18,-0.83,-2.01,0.18,-0.41,0.03,-0.07,-0.43,0.15,-2.1
202323,Evan Turner,BOS,0.448,-2.37,-0.46,-2.82,-0.31,1.45,-1.66,0.16,-0.11,-0.03,-2.8
