Rk,Player,Pos,Age,Team,WinPct,G,GS,Mpg,MP,PER,TSpct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,BLK,TOV,PF,PTS,3PA,3P,FTA
285,Reggie Williams,SF,27,OKC,0.72,3,0,5.7,17.1,16.4,0.611,0,0,0,11.5,3,0,18.2,0,0,0,0.034,-2,-6.2,-8.2,0,0,0.7,0.3,3.7,1,0.333,0
286,Russell Westbrook,PG,25,OKC,0.72,46,46,30.7,1412.2,24.7,0.545,4.6,15.9,10.5,40.2,3.1,0.4,16.1,3,2.3,5.2,0.178,5.2,1.2,6.4,3,0.2,3.8,2.3,21.8,4.7,0.318,6.4
287,Hasheem Thabeet,C,26,OKC,0.72,23,0,8.3,190.9,2.6,0.536,5.6,17.4,11.7,0.7,1,3.8,35.7,-0.2,0.3,0,0.012,-6.8,1,-5.8,-0.2,0.4,0.6,2,1.2,0,,0.2
288,Mustafa Shakur,PG,29,OKC,0.72,3,0,3.7,11.1,-8.8,0.129,0,0,0,45.1,0,0,34,-0.1,0,-0.1,-0.347,-17.4,-12.5,-29.9,-0.1,0,0.7,0.7,0.3,0.3,0,0.7
289,Thabo Sefolosha,SG,29,OKC,0.72,61,61,26,1586,10.4,0.517,3.7,11.5,7.8,8.3,2.5,0.9,12.9,0.9,2.1,3,0.092,-0.7,1.5,0.8,1.1,0.3,0.9,1.5,6.3,2.5,0.316,1.1
290,Andre Roberson,PF,22,OKC,0.72,40,16,10,400,9,0.518,10.7,15.6,13.3,5.2,2.4,2,20.8,0.2,0.6,0.8,0.099,-2.2,1.9,-0.3,0.2,0.3,0.5,1.9,1.9,0.3,0.154,0.3
291,Kendrick Perkins,C,29,OKC,0.72,62,62,19.5,1209,6.3,0.474,8,19.9,14.2,7.6,1.1,2.2,28.8,-0.9,1.7,0.8,0.031,-4.7,2.1,-2.7,-0.2,0.5,1.5,2.9,3.4,0,0,1.1
292,Jeremy Lamb,SG,21,OKC,0.72,78,0,19.7,1536.6,13.4,0.522,2.1,11.3,6.9,11.8,1.8,1.4,8.7,1.4,1.8,3.3,0.102,-0.3,-0.9,-1.2,0.3,0.3,0.8,1.8,8.5,3.2,0.356,0.8
293,Perry Jones,PF,22,OKC,0.72,62,7,12.3,762.6,10.1,0.541,4.3,12.1,8.4,4.9,0.9,2,9.5,0.7,0.8,1.5,0.094,-2,-0.5,-2.5,-0.1,0.3,0.3,1,3.5,1,0.361,0.7
294,Reggie Jackson,PG,23,OKC,0.72,80,36,28.5,2280,15.4,0.527,2.2,12.8,7.8,23.1,1.9,0.3,14.5,2.3,2.6,4.9,0.104,0.1,-0.5,-0.4,0.9,0.1,2.1,1.8,13.1,3.1,0.339,2.2
295,Royal Ivey,SG,32,OKC,0.72,2,0,2.5,5,-16.5,0,0,21.5,11.3,0,0,0,0,0,0,0,-0.362,-18.1,-6.6,-24.7,0,0,0,0.5,0,0.5,0,0
296,Serge Ibaka,PF,24,OKC,0.72,81,81,32.9,2664.9,19.6,0.576,10,19.6,15,5.2,0.7,6.7,10.3,5.2,4.4,9.6,0.173,-0.4,2.3,1.9,2.6,2.7,1.5,2.9,15.1,0.7,0.383,2.5
297,Ryan Gomes,SF,31,OKC,0.72,5,0,6.8,34,0.2,0.375,0,12.7,6.6,4.1,0,0,11.1,-0.1,0,0,-0.039,-7.2,-2.4,-9.6,-0.1,0,0.2,1,1.2,0.4,0,0
298,Derek Fisher,SG,39,OKC,0.72,81,0,17.6,1425.6,10.1,0.542,1,8.3,4.8,11.6,2.5,0.2,11.1,1.4,1.7,3.1,0.103,0,-0.5,-0.5,0.5,0,0.6,1.9,5.2,2.8,0.384,0.9
299,Kevin Durant,SF,25,OKC,0.72,81,81,38.5,3118.5,29.8,0.635,2.2,18.6,10.8,26.7,1.7,1.5,12.2,14.8,4.4,19.2,0.295,8.4,0.4,8.8,8.5,0.7,3.5,2.1,32,6.1,0.391,9.9
300,Nick Collison,PF,33,OKC,0.72,81,0,16.7,1352.7,11.8,0.599,10.2,14.1,12.2,10.9,1.1,1.7,20.1,2,1.6,3.6,0.128,-0.5,1.1,0.6,0.9,0.3,0.9,2.3,4.2,0.2,0.235,1.1
301,Steven Adams,C,20,OKC,0.72,81,20,14.8,1198.8,11.2,0.541,14.1,17.1,15.6,4.9,1.7,3.9,22.5,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,0.7,0.9,2.5,3.3,0,,1.7
302,Nikola Vucevic,C,23,ORL,0.28,57,57,31.8,1812.6,18.8,0.536,11.5,27.6,19.5,10.2,1.7,2,12.9,1.8,2.6,4.4,0.116,-1,1.5,0.5,1.2,0.8,2,3,14.2,0,,2.4
303,Ronnie Price,SG,30,ORL,0.28,31,2,12.2,378.2,7.6,0.379,2.4,10.5,6.5,25.6,3.4,0.4,21,-0.5,0.4,-0.1,-0.007,-4,0.3,-3.8,-0.2,0.1,0.8,1.6,2.4,1.4,0.209,0.4
304,Victor Oladipo,PG,21,ORL,0.28,80,44,31.1,2488,13.6,0.514,1.9,13.1,7.5,21.9,2.7,1.2,19.2,-1.4,2.8,1.3,0.026,-1.6,0.8,-0.8,0.8,0.5,3.2,2.6,13.8,2.8,0.327,4
305,Kyle O'Quinn,C,23,ORL,0.28,69,19,17.2,1186.8,16.5,0.526,9.5,25.2,17.3,10.9,1.7,5.8,16.1,0.5,2,2.5,0.101,-3.1,3.6,0.5,0.8,1.3,1.1,2.4,6.2,0,0,1.2
306,Andrew Nicholson,PF,24,ORL,0.28,76,5,15.4,1170.4,9.9,0.489,5.1,19.5,12.3,3.5,0.8,1.5,10.3,-0.4,1,0.6,0.025,-4.7,-2,-6.7,-1.4,0.3,0.7,2,5.7,1.2,0.315,0.8
307,Jameer Nelson,PG,31,ORL,0.28,68,68,32,2176,13.9,0.515,1.5,10.5,6,35.1,1.2,0.2,17.3,1.6,1.2,2.8,0.062,1.1,-2.2,-1.1,0.5,0.1,2.4,2.1,12.1,5.8,0.348,1.6
308,E'Twaun Moore,SG,24,ORL,0.28,79,3,19.1,1508.9,11.1,0.513,2.2,8.1,5.1,11.8,2,0.7,10.2,0.6,1.1,1.7,0.055,-1.4,-0.8,-2.3,-0.1,0.2,0.7,1.3,6.3,2,0.354,0.9
309,Jason Maxiell,PF,30,ORL,0.28,34,13,14.4,489.6,8.1,0.459,6.5,13.5,10,2.8,0.8,3.2,10.6,-0.1,0.4,0.3,0.029,-5.3,0.3,-5,-0.4,0.6,0.4,1.4,3.2,0,,0.9
310,Doron Lamb,SG,22,ORL,0.28,53,0,13.1,694.3,7.5,0.543,1.3,6.7,4,9.3,0.8,0.1,13.3,0.3,0.2,0.5,0.036,-2.2,-2.4,-4.6,-0.4,0,0.5,1,3.6,1.7,0.4,0.7
311,Solomon Jones,PF,29,ORL,0.28,11,0,7.7,84.7,5.8,0.373,10.6,10.7,10.7,3.4,1.2,1.8,9.6,0,0.1,0,0.013,-5.3,-0.2,-5.5,-0.1,0.2,0.2,1.1,1.3,0,,0.4
312,Tobias Harris,PF,21,ORL,0.28,61,36,30.3,1848.3,16.5,0.542,5.4,20.6,13,7.7,1.1,1,8.7,2.4,1.7,4.1,0.107,-0.7,-1,-1.7,0.1,0.4,1.3,2.3,14.6,2.1,0.254,4
